,Abbreviation,State,volume,year
0,MA,massachusetts:martha's vineyard,0.441538662156,1995
1,MA,massachusetts:martha's vineyard,0.147179554052,1997
2,MA,massachusetts:martha's vineyard,0.147179554052,1998
3,MA,massachusetts:martha's vineyard,0.147179554052,1999
4,MA,massachusetts:martha's vineyard,0.441538662156,2000
5,MA,massachusetts:martha's vineyard,0.588718216207,2001
6,MA,massachusetts:martha's vineyard,2.06051375673,2002
7,MA,massachusetts:martha's vineyard,1.61897509457,2003
8,MA,massachusetts:martha's vineyard,3.82666840535,2004
9,MA,massachusetts:martha's vineyard,5.59282305397,2005
10,MA,massachusetts:martha's vineyard,7.06461859449,2006
11,MA,massachusetts:martha's vineyard,14.4235962971,2007
12,MA,massachusetts:martha's vineyard,17.6615464862,2008
13,MA,massachusetts:martha's vineyard,16.4841100538,2009
14,MA,massachusetts:martha's vineyard,20.3107784592,2010
15,MA,massachusetts:martha's vineyard,28.5528334861,2011
16,MA,massachusetts:martha's vineyard,11.7743643241,2012
17,MA,massachusetts:martha's vineyard,31.202065459,2013
18,MA,massachusetts:martha's vineyard,132.167239539,2014
19,MA,massachusetts:martha's vineyard,44.1538662156,2015
20,MA,massachusetts:martha's vineyard,32.2323223374,2016
21,MA,massachusetts:martha's vineyard,25.9036015131,2017
22,MA,massachusetts:main,0.441538662156,1995
23,MA,massachusetts:main,0.147179554052,1997
24,MA,massachusetts:main,0.147179554052,1998
25,MA,massachusetts:main,0.147179554052,1999
26,MA,massachusetts:main,0.441538662156,2000
27,MA,massachusetts:main,0.588718216207,2001
28,MA,massachusetts:main,2.06051375673,2002
29,MA,massachusetts:main,1.61897509457,2003
30,MA,massachusetts:main,3.82666840535,2004
31,MA,massachusetts:main,5.59282305397,2005
32,MA,massachusetts:main,7.06461859449,2006
33,MA,massachusetts:main,14.4235962971,2007
34,MA,massachusetts:main,17.6615464862,2008
35,MA,massachusetts:main,16.4841100538,2009
36,MA,massachusetts:main,20.3107784592,2010
37,MA,massachusetts:main,28.5528334861,2011
38,MA,massachusetts:main,11.7743643241,2012
39,MA,massachusetts:main,31.202065459,2013
40,MA,massachusetts:main,132.167239539,2014
41,MA,massachusetts:main,44.1538662156,2015
42,MA,massachusetts:main,32.2323223374,2016
43,MA,massachusetts:main,25.9036015131,2017
44,MA,massachusetts:nantucket,0.441538662156,1995
45,MA,massachusetts:nantucket,0.147179554052,1997
46,MA,massachusetts:nantucket,0.147179554052,1998
47,MA,massachusetts:nantucket,0.147179554052,1999
48,MA,massachusetts:nantucket,0.441538662156,2000
49,MA,massachusetts:nantucket,0.588718216207,2001
50,MA,massachusetts:nantucket,2.06051375673,2002
51,MA,massachusetts:nantucket,1.61897509457,2003
52,MA,massachusetts:nantucket,3.82666840535,2004
53,MA,massachusetts:nantucket,5.59282305397,2005
54,MA,massachusetts:nantucket,7.06461859449,2006
55,MA,massachusetts:nantucket,14.4235962971,2007
56,MA,massachusetts:nantucket,17.6615464862,2008
57,MA,massachusetts:nantucket,16.4841100538,2009
58,MA,massachusetts:nantucket,20.3107784592,2010
59,MA,massachusetts:nantucket,28.5528334861,2011
60,MA,massachusetts:nantucket,11.7743643241,2012
61,MA,massachusetts:nantucket,31.202065459,2013
62,MA,massachusetts:nantucket,132.167239539,2014
63,MA,massachusetts:nantucket,44.1538662156,2015
64,MA,massachusetts:nantucket,32.2323223374,2016
65,MA,massachusetts:nantucket,25.9036015131,2017
66,MI,michigan:north,0.10078028125,1986
67,MI,michigan:north,0.10078028125,1987
68,MI,michigan:north,0.201560562499,1988
69,MI,michigan:north,0.10078028125,1992
70,MI,michigan:north,0.10078028125,1997
71,MI,michigan:north,0.10078028125,1998
72,MI,michigan:north,0.201560562499,1999
73,MI,michigan:north,0.604681687497,2001
74,MI,michigan:north,0.302340843749,2002
75,MI,michigan:north,1.10858309375,2003
76,MI,michigan:north,1.20936337499,2004
77,MI,michigan:north,1.61248449999,2005
78,MI,michigan:north,1.81404506249,2006
79,MI,michigan:north,5.34135490623,2007
80,MI,michigan:north,4.83745349998,2008
81,MI,michigan:north,2.82184787499,2009
82,MI,michigan:north,2.31794646874,2010
83,MI,michigan:north,4.33355209373,2011
84,MI,michigan:north,3.42652956248,2012
85,MI,michigan:north,8.56632390621,2013
86,MI,michigan:north,25.1950703124,2014
87,MI,michigan:north,9.27178587496,2015
88,MI,michigan:north,9.07022531246,2016
89,MI,michigan:north,4.73667321873,2017
90,MI,michigan:south,0.10078028125,1986
91,MI,michigan:south,0.10078028125,1987
92,MI,michigan:south,0.201560562499,1988
93,MI,michigan:south,0.10078028125,1992
94,MI,michigan:south,0.10078028125,1997
95,MI,michigan:south,0.10078028125,1998
96,MI,michigan:south,0.201560562499,1999
97,MI,michigan:south,0.604681687497,2001
98,MI,michigan:south,0.302340843749,2002
99,MI,michigan:south,1.10858309375,2003
100,MI,michigan:south,1.20936337499,2004
101,MI,michigan:south,1.61248449999,2005
102,MI,michigan:south,1.81404506249,2006
103,MI,michigan:south,5.34135490623,2007
104,MI,michigan:south,4.83745349998,2008
105,MI,michigan:south,2.82184787499,2009
106,MI,michigan:south,2.31794646874,2010
107,MI,michigan:south,4.33355209373,2011
108,MI,michigan:south,3.42652956248,2012
109,MI,michigan:south,8.56632390621,2013
110,MI,michigan:south,25.1950703124,2014
111,MI,michigan:south,9.27178587496,2015
112,MI,michigan:south,9.07022531246,2016
113,MI,michigan:south,4.73667321873,2017
114,NY,new york:manhattan,0.0505157889372,1988
115,NY,new york:manhattan,0.0505157889372,1992
116,NY,new york:manhattan,0.0505157889372,1993
117,NY,new york:manhattan,0.101031577874,1994
118,NY,new york:manhattan,0.101031577874,1995
119,NY,new york:manhattan,0.151547366811,1997
120,NY,new york:manhattan,0.252578944686,1998
121,NY,new york:manhattan,0.0505157889372,1999
122,NY,new york:manhattan,0.252578944686,2000
123,NY,new york:manhattan,0.35361052256,2001
124,NY,new york:manhattan,0.70722104512,2002
125,NY,new york:manhattan,1.16186314555,2003
126,NY,new york:manhattan,1.86908419067,2004
127,NY,new york:manhattan,1.66702103493,2005
128,NY,new york:manhattan,4.69796837116,2006
129,NY,new york:manhattan,6.1124104614,2007
130,NY,new york:manhattan,9.54748410912,2008
131,NY,new york:manhattan,6.92066308439,2009
132,NY,new york:manhattan,9.2443893755,2010
133,NY,new york:manhattan,16.7207261382,2011
134,NY,new york:manhattan,8.99181043081,2012
135,NY,new york:manhattan,26.7733681367,2013
136,NY,new york:manhattan,94.7171042572,2014
137,NY,new york:manhattan,29.9558628397,2015
138,NY,new york:manhattan,17.9836208616,2016
139,NY,new york:manhattan,17.0743366608,2017
140,NY,new york:main,0.0505157889372,1988
141,NY,new york:main,0.0505157889372,1992
142,NY,new york:main,0.0505157889372,1993
143,NY,new york:main,0.101031577874,1994
144,NY,new york:main,0.101031577874,1995
145,NY,new york:main,0.151547366811,1997
146,NY,new york:main,0.252578944686,1998
147,NY,new york:main,0.0505157889372,1999
148,NY,new york:main,0.252578944686,2000
149,NY,new york:main,0.35361052256,2001
150,NY,new york:main,0.70722104512,2002
151,NY,new york:main,1.16186314555,2003
152,NY,new york:main,1.86908419067,2004
153,NY,new york:main,1.66702103493,2005
154,NY,new york:main,4.69796837116,2006
155,NY,new york:main,6.1124104614,2007
156,NY,new york:main,9.54748410912,2008
157,NY,new york:main,6.92066308439,2009
158,NY,new york:main,9.2443893755,2010
159,NY,new york:main,16.7207261382,2011
160,NY,new york:main,8.99181043081,2012
161,NY,new york:main,26.7733681367,2013
162,NY,new york:main,94.7171042572,2014
163,NY,new york:main,29.9558628397,2015
164,NY,new york:main,17.9836208616,2016
165,NY,new york:main,17.0743366608,2017
166,NY,new york:staten island,0.0505157889372,1988
167,NY,new york:staten island,0.0505157889372,1992
168,NY,new york:staten island,0.0505157889372,1993
169,NY,new york:staten island,0.101031577874,1994
170,NY,new york:staten island,0.101031577874,1995
171,NY,new york:staten island,0.151547366811,1997
172,NY,new york:staten island,0.252578944686,1998
173,NY,new york:staten island,0.0505157889372,1999
174,NY,new york:staten island,0.252578944686,2000
175,NY,new york:staten island,0.35361052256,2001
176,NY,new york:staten island,0.70722104512,2002
177,NY,new york:staten island,1.16186314555,2003
178,NY,new york:staten island,1.86908419067,2004
179,NY,new york:staten island,1.66702103493,2005
180,NY,new york:staten island,4.69796837116,2006
181,NY,new york:staten island,6.1124104614,2007
182,NY,new york:staten island,9.54748410912,2008
183,NY,new york:staten island,6.92066308439,2009
184,NY,new york:staten island,9.2443893755,2010
185,NY,new york:staten island,16.7207261382,2011
186,NY,new york:staten island,8.99181043081,2012
187,NY,new york:staten island,26.7733681367,2013
188,NY,new york:staten island,94.7171042572,2014
189,NY,new york:staten island,29.9558628397,2015
190,NY,new york:staten island,17.9836208616,2016
191,NY,new york:staten island,17.0743366608,2017
192,NY,new york:long island,0.0505157889372,1988
193,NY,new york:long island,0.0505157889372,1992
194,NY,new york:long island,0.0505157889372,1993
195,NY,new york:long island,0.101031577874,1994
196,NY,new york:long island,0.101031577874,1995
197,NY,new york:long island,0.151547366811,1997
198,NY,new york:long island,0.252578944686,1998
199,NY,new york:long island,0.0505157889372,1999
200,NY,new york:long island,0.252578944686,2000
201,NY,new york:long island,0.35361052256,2001
202,NY,new york:long island,0.70722104512,2002
203,NY,new york:long island,1.16186314555,2003
204,NY,new york:long island,1.86908419067,2004
205,NY,new york:long island,1.66702103493,2005
206,NY,new york:long island,4.69796837116,2006
207,NY,new york:long island,6.1124104614,2007
208,NY,new york:long island,9.54748410912,2008
209,NY,new york:long island,6.92066308439,2009
210,NY,new york:long island,9.2443893755,2010
211,NY,new york:long island,16.7207261382,2011
212,NY,new york:long island,8.99181043081,2012
213,NY,new york:long island,26.7733681367,2013
214,NY,new york:long island,94.7171042572,2014
215,NY,new york:long island,29.9558628397,2015
216,NY,new york:long island,17.9836208616,2016
217,NY,new york:long island,17.0743366608,2017
218,NC,north carolina:knotts,0.0995738042032,1983
219,NC,north carolina:knotts,0.0995738042032,1985
220,NC,north carolina:knotts,0.199147608406,1995
221,NC,north carolina:knotts,0.398295216813,1997
222,NC,north carolina:knotts,0.597442825219,1998
223,NC,north carolina:knotts,0.398295216813,1999
224,NC,north carolina:knotts,0.995738042032,2000
225,NC,north carolina:knotts,0.995738042032,2001
226,NC,north carolina:knotts,2.78806651769,2002
227,NC,north carolina:knotts,2.9872141261,2003
228,NC,north carolina:knotts,4.58039499335,2004
229,NC,north carolina:knotts,5.27741162277,2005
230,NC,north carolina:knotts,9.2603637909,2006
231,NC,north carolina:knotts,15.1352182389,2007
232,NC,north carolina:knotts,19.7156132322,2008
233,NC,north carolina:knotts,9.0612161825,2009
234,NC,north carolina:knotts,10.4552494413,2010
235,NC,north carolina:knotts,19.3173180154,2011
236,NC,north carolina:knotts,12.9445945464,2012
237,NC,north carolina:knotts,24.2960082256,2013
238,NC,north carolina:knotts,65.3204155573,2014
239,NC,north carolina:knotts,22.0058107289,2015
240,NC,north carolina:knotts,22.6032535541,2016
241,NC,north carolina:knotts,5.67570683959,2017
242,NC,north carolina:main,0.0995738042032,1983
243,NC,north carolina:main,0.0995738042032,1985
244,NC,north carolina:main,0.199147608406,1995
245,NC,north carolina:main,0.398295216813,1997
246,NC,north carolina:main,0.597442825219,1998
247,NC,north carolina:main,0.398295216813,1999
248,NC,north carolina:main,0.995738042032,2000
249,NC,north carolina:main,0.995738042032,2001
250,NC,north carolina:main,2.78806651769,2002
251,NC,north carolina:main,2.9872141261,2003
252,NC,north carolina:main,4.58039499335,2004
253,NC,north carolina:main,5.27741162277,2005
254,NC,north carolina:main,9.2603637909,2006
255,NC,north carolina:main,15.1352182389,2007
256,NC,north carolina:main,19.7156132322,2008
257,NC,north carolina:main,9.0612161825,2009
258,NC,north carolina:main,10.4552494413,2010
259,NC,north carolina:main,19.3173180154,2011
260,NC,north carolina:main,12.9445945464,2012
261,NC,north carolina:main,24.2960082256,2013
262,NC,north carolina:main,65.3204155573,2014
263,NC,north carolina:main,22.0058107289,2015
264,NC,north carolina:main,22.6032535541,2016
265,NC,north carolina:main,5.67570683959,2017
266,NC,north carolina:spit,0.0995738042032,1983
267,NC,north carolina:spit,0.0995738042032,1985
268,NC,north carolina:spit,0.199147608406,1995
269,NC,north carolina:spit,0.398295216813,1997
270,NC,north carolina:spit,0.597442825219,1998
271,NC,north carolina:spit,0.398295216813,1999
272,NC,north carolina:spit,0.995738042032,2000
273,NC,north carolina:spit,0.995738042032,2001
274,NC,north carolina:spit,2.78806651769,2002
275,NC,north carolina:spit,2.9872141261,2003
276,NC,north carolina:spit,4.58039499335,2004
277,NC,north carolina:spit,5.27741162277,2005
278,NC,north carolina:spit,9.2603637909,2006
279,NC,north carolina:spit,15.1352182389,2007
280,NC,north carolina:spit,19.7156132322,2008
281,NC,north carolina:spit,9.0612161825,2009
282,NC,north carolina:spit,10.4552494413,2010
283,NC,north carolina:spit,19.3173180154,2011
284,NC,north carolina:spit,12.9445945464,2012
285,NC,north carolina:spit,24.2960082256,2013
286,NC,north carolina:spit,65.3204155573,2014
287,NC,north carolina:spit,22.0058107289,2015
288,NC,north carolina:spit,22.6032535541,2016
289,NC,north carolina:spit,5.67570683959,2017
290,VA,virginia:chesapeake,0.119289136947,1986
291,VA,virginia:chesapeake,0.238578273893,1988
292,VA,virginia:chesapeake,0.238578273893,1991
293,VA,virginia:chesapeake,0.238578273893,1993
294,VA,virginia:chesapeake,0.35786741084,1994
295,VA,virginia:chesapeake,0.35786741084,1995
296,VA,virginia:chesapeake,0.835023958627,1997
297,VA,virginia:chesapeake,1.07360223252,1998
298,VA,virginia:chesapeake,1.67004791725,1999
299,VA,virginia:chesapeake,2.38578273893,2000
300,VA,virginia:chesapeake,2.86293928672,2001
301,VA,virginia:chesapeake,3.45938497145,2002
302,VA,virginia:chesapeake,7.75379390153,2003
303,VA,virginia:chesapeake,9.66242009268,2004
304,VA,virginia:chesapeake,10.1395766405,2005
305,VA,virginia:chesapeake,18.8476836376,2006
306,VA,virginia:chesapeake,26.2436101283,2007
307,VA,virginia:chesapeake,26.840055813,2008
308,VA,virginia:chesapeake,17.5355031312,2009
309,VA,virginia:chesapeake,20.159864144,2010
310,VA,virginia:chesapeake,27.5557906347,2011
311,VA,virginia:chesapeake,16.7004791725,2012
312,VA,virginia:chesapeake,34.2359823037,2013
313,VA,virginia:chesapeake,114.398282332,2014
314,VA,virginia:chesapeake,35.9060302209,2015
315,VA,virginia:chesapeake,34.9517171254,2016
316,VA,virginia:chesapeake,17.0583465834,2017
317,VA,virginia:chincoteague,0.119289136947,1986
318,VA,virginia:chincoteague,0.238578273893,1988
319,VA,virginia:chincoteague,0.238578273893,1991
320,VA,virginia:chincoteague,0.238578273893,1993
321,VA,virginia:chincoteague,0.35786741084,1994
322,VA,virginia:chincoteague,0.35786741084,1995
323,VA,virginia:chincoteague,0.835023958627,1997
324,VA,virginia:chincoteague,1.07360223252,1998
325,VA,virginia:chincoteague,1.67004791725,1999
326,VA,virginia:chincoteague,2.38578273893,2000
327,VA,virginia:chincoteague,2.86293928672,2001
328,VA,virginia:chincoteague,3.45938497145,2002
329,VA,virginia:chincoteague,7.75379390153,2003
330,VA,virginia:chincoteague,9.66242009268,2004
331,VA,virginia:chincoteague,10.1395766405,2005
332,VA,virginia:chincoteague,18.8476836376,2006
333,VA,virginia:chincoteague,26.2436101283,2007
334,VA,virginia:chincoteague,26.840055813,2008
335,VA,virginia:chincoteague,17.5355031312,2009
336,VA,virginia:chincoteague,20.159864144,2010
337,VA,virginia:chincoteague,27.5557906347,2011
338,VA,virginia:chincoteague,16.7004791725,2012
339,VA,virginia:chincoteague,34.2359823037,2013
340,VA,virginia:chincoteague,114.398282332,2014
341,VA,virginia:chincoteague,35.9060302209,2015
342,VA,virginia:chincoteague,34.9517171254,2016
343,VA,virginia:chincoteague,17.0583465834,2017
344,VA,virginia:main,0.119289136947,1986
345,VA,virginia:main,0.238578273893,1988
346,VA,virginia:main,0.238578273893,1991
347,VA,virginia:main,0.238578273893,1993
348,VA,virginia:main,0.35786741084,1994
349,VA,virginia:main,0.35786741084,1995
350,VA,virginia:main,0.835023958627,1997
351,VA,virginia:main,1.07360223252,1998
352,VA,virginia:main,1.67004791725,1999
353,VA,virginia:main,2.38578273893,2000
354,VA,virginia:main,2.86293928672,2001
355,VA,virginia:main,3.45938497145,2002
356,VA,virginia:main,7.75379390153,2003
357,VA,virginia:main,9.66242009268,2004
358,VA,virginia:main,10.1395766405,2005
359,VA,virginia:main,18.8476836376,2006
360,VA,virginia:main,26.2436101283,2007
361,VA,virginia:main,26.840055813,2008
362,VA,virginia:main,17.5355031312,2009
363,VA,virginia:main,20.159864144,2010
364,VA,virginia:main,27.5557906347,2011
365,VA,virginia:main,16.7004791725,2012
366,VA,virginia:main,34.2359823037,2013
367,VA,virginia:main,114.398282332,2014
368,VA,virginia:main,35.9060302209,2015
369,VA,virginia:main,34.9517171254,2016
370,VA,virginia:main,17.0583465834,2017
371,WA,washington:san juan island,0.13946318667,1988
372,WA,washington:san juan island,0.278926373339,1989
373,WA,washington:san juan island,0.278926373339,1994
374,WA,washington:san juan island,0.13946318667,1996
375,WA,washington:san juan island,0.697315933348,1997
376,WA,washington:san juan island,1.11570549336,1998
377,WA,washington:san juan island,2.09194780004,1999
378,WA,washington:san juan island,1.67355824004,2000
379,WA,washington:san juan island,3.34711648007,2001
380,WA,washington:san juan island,3.62604285341,2002
381,WA,washington:san juan island,5.9969170268,2003
382,WA,washington:san juan island,6.69423296014,2004
383,WA,washington:san juan island,5.71799065346,2005
384,WA,washington:san juan island,12.4122236136,2006
385,WA,washington:san juan island,15.3409505337,2007
386,WA,washington:san juan island,13.2490027336,2008
387,WA,washington:san juan island,9.2045703202,2009
388,WA,washington:san juan island,10.4597390002,2010
389,WA,washington:san juan island,17.711824707,2011
390,WA,washington:san juan island,10.1808126269,2012
391,WA,washington:san juan island,22.4535730538,2013
392,WA,washington:san juan island,59.6902438946,2014
393,WA,washington:san juan island,25.3822999739,2015
394,WA,washington:san juan island,23.9876681072,2016
