,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
0,700600355,33908,33999,AL,Acura,RLX,2014,,1,auto,FWD,Black,,Certified 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
1,690758211,48185,20992,AZ,Acura,RLX,2014,,0,auto,FWD,Silver Moon,Ebony,Used 2014 Acura RLX,6-Speed Automatic | FWD
2,696331616,42273,23998,IL,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Greystone,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
3,694321086,27964,26000,CO,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX Tech Pkg,6-Speed Automatic w/OD | FWD
4,697564856,15635,39389,NY,Acura,RLX,2016,,1,auto,FWD,Pomegranate Pearl,Seacoast,Certified 2016 Acura RLX Advance,6-Speed Automatic | FWD
5,693965033,34326,24988,VA,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Seacoast,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
6,675978186,35428,24888,NY,Acura,RLX,2014,,0,auto,FWD,Gray,,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
7,683079704,42357,25588,NY,Acura,RLX,2014,,0,auto,FWD,Gray,,Used 2014 Acura RLX,6-Speed Automatic | FWD
8,698922776,44814,24587,WI,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,,Used 2014 Acura RLX Navigation,6-Speed Automatic w/OD | FWD
9,696857401,32754,25998,MN,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Greystone,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
10,682324892,12107,29995,VA,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
11,697769050,13571,39493,VA,Acura,RLX,2016,,1,auto,FWD,Bellanova White Pearl,,Certified 2016 Acura RLX Advance,6-Speed Automatic | FWD
12,699083522,15775,28998,ID,Acura,RLX,2014,,0,auto,FWD,Gray,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
13,665640553,16571,25987,AZ,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
14,686200540,16962,32995,NJ,Acura,RLX,2015,,1,auto,FWD,Crystal Black Pearl,Ebony,Certified 2015 Acura RLX Advance Pkg,6-Speed Automatic w/OD | FWD
15,694999675,17752,28990,AL,Acura,RLX,2014,,0,auto,FWD,Black,Tan,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
16,686303835,17816,28888,NJ,Acura,RLX,2014,,0,auto,FWD,White,Graphite,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
17,699593239,18510,37986,FL,Acura,RLX,2016,,0,auto,FWD,Pomegranate Pearl,Seacoast,Used 2016 Acura RLX Technology Package,6-Speed Automatic | FWD
18,666992707,18534,25687,AZ,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,,Used 2014 Acura RLX,6-Speed Automatic | FWD
19,697833506,18586,27736,KS,Acura,RLX,2014,,1,auto,FWD,Graphite Luster Metallic,Greystone,Certified 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
20,698422585,19915,35995,UT,Acura,RLX,2015,,0,auto,FWD,Pomegranate Pearl,Gray,Used 2015 Acura RLX Advance Package,6-Speed Automatic | FWD
21,658316361,20663,27287,AZ,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,,Used 2014 Acura RLX Base,6-Speed Automatic | FWD
22,699998402,20720,29998,ID,Acura,RLX,2014,,0,auto,FWD,Blue,Gray,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
23,695278808,21718,25990,VA,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
24,671507537,21956,30980,IL,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
25,697476261,22300,26300,TN,Acura,RLX,2014,,0,auto,FWD,Silver Moon,Ebony,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
26,698779874,23432,29402,GA,Acura,RLX,2014,,0,auto,FWD,White,Tan,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
27,699325679,23942,28557,CT,Acura,RLX,2014,,0,auto,FWD,Gray,,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
28,691657259,24092,27995,NE,Acura,RLX,2014,,0,auto,FWD,Gray,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
29,698711306,24177,28495,IN,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
30,676265160,24660,28499,PA,Acura,RLX,2014,,1,auto,FWD,Forged Silver Metallic,Ebony,Certified 2014 Acura RLX Navigation,Automatic | FWD
31,693944948,25809,23995,SD,Acura,RLX,2014,,0,auto,FWD,Silver,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
32,698754611,26340,31986,FL,Acura,RLX,2014,,1,auto,FWD,Crystal Black Pearl,Ebony,Certified 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
33,694385364,26900,23979,KY,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Base,6-Speed Automatic | FWD
34,694299944,27663,27995,NJ,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
35,700757219,27706,29499,CO,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Seacoast,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
36,690360875,27742,23997,FL,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
37,685587238,28575,22995,OH,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX,6-Speed Automatic | FWD
38,685587237,28892,26990,OH,Acura,RLX,2014,,0,auto,FWD,Gray,Ebony,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
39,671677585,29010,27999,CA,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
40,695946629,29204,27990,KS,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Ebony,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
41,698574488,29371,32492,VA,Acura,RLX,2015,,0,auto,FWD,Bellanova White Pearl,,Used 2015 Acura RLX Technology Package,6-Speed Automatic | FWD
42,677704224,29909,28750,TN,Acura,RLX,2014,,0,auto,FWD,Burgundy,Gray,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
43,699143993,30075,26250,MD,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
44,687060719,30232,24998,VA,Acura,RLX,2014,,0,auto,FWD,Silver,Ebony,Used 2014 Acura RLX,6-Speed Automatic | FWD
45,695721787,30459,24977,WA,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Seacoast,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
46,695527303,30506,21997,OR,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
47,672191223,30560,26578,TX,Acura,RLX,2014,,0,auto,FWD,Ebony,Ebony,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
48,700219385,30723,23977,GA,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
49,672179478,30828,23790,VA,Acura,RLX,2014,,0,auto,FWD,Silver,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
50,696351813,31011,24588,CA,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
51,693592989,31581,25875,UT,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
52,690836076,32613,27995,WA,Acura,RLX,2014,,0,auto,FWD,Midnight Black,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
53,690714246,32756,25983,FL,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Black,Used 2014 Acura RLX Tech Pkg,6-Speed Automatic w/OD | FWD
54,690836074,33202,27995,WA,Acura,RLX,2014,,0,auto,FWD,White,Greystone,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
55,695439954,33785,27990,AL,Acura,RLX,2014,,0,auto,FWD,Gray,Light Gray,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
56,679398540,34051,25997,TN,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
57,692098151,34100,23895,MA,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Ebony,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
58,697951049,34330,24000,NJ,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
59,697976636,34330,24000,NJ,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
60,700726195,34615,24590,MD,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
61,690708856,35861,25984,FL,Acura,RLX,2014,,0,auto,FWD,White,Black,Used 2014 Acura RLX Tech Pkg,6-Speed Automatic w/OD | FWD
62,696757003,35863,23390,MA,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
63,697850786,35917,26995,AL,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Seacoast,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
64,693884800,36580,28980,IL,Acura,RLX,2014,,0,auto,FWD,Forged Silver Metallic,Ebony,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
65,697500569,36658,24485,VA,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
66,679639306,36675,24995,NH,Acura,RLX,2014,,0,auto,FWD,Silver Moon Metallic,Ebony,Used 2014 Acura RLX Base,6-Speed Automatic | FWD
67,699183169,37100,27850,NC,Acura,RLX,2014,,1,auto,FWD,Silver Moon,Ebony,Certified 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
68,696969047,37305,26490,OH,Acura,RLX,2014,,0,auto,FWD,White,Tan,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
69,695284609,38037,26900,NC,Acura,RLX,2014,,0,auto,FWD,Gray,Tan,Used 2014 Acura RLX Base,6-Speed Automatic | FWD
70,698818023,39008,26991,WA,Acura,RLX,2014,,0,auto,FWD,Black,Tan,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
71,699690938,39171,26998,MA,Acura,RLX,2014,,0,auto,FWD,Pomegranate Pearl,Ivory,Used 2014 Acura RLX 6-SPD,6-Speed Automatic | FWD
72,684551668,39532,26950,NE,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
73,699644065,39987,22900,VA,Acura,RLX,2014,,0,auto,FWD,Gray,Gray,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
74,694450595,40001,26595,TX,Acura,RLX,2014,,0,auto,FWD,Black,Gray,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
75,665915294,40152,26295,TX,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
76,690297125,40216,22835,NJ,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Ebony,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
77,699914600,40392,28463,OR,Acura,RLX,2014,,0,auto,FWD,Crystal Black,Ebony,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
78,699127374,40793,25490,CO,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Ebony,Used 2014 Acura RLX Tech Pkg,6-Speed Automatic w/OD | FWD
79,695383050,41081,24688,HI,Acura,RLX,2014,,0,auto,FWD,Gold,Tan,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
80,698580551,41561,25000,AL,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Seacoast,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
81,695890815,41824,23900,OK,Acura,RLX,2014,,0,auto,FWD,Gray,,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
82,687569089,42095,24998,VA,Acura,RLX,2014,,0,auto,FWD,Silver,Gray,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
83,698326176,42320,26500,GA,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Greystone,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
84,685858687,42718,24300,NC,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Greystone,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
85,695030891,44910,25900,FL,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,,Used 2014 Acura RLX Navigation,6-Speed Automatic w/OD | FWD
86,699758829,44941,28495,NC,Acura,RLX,2014,,1,auto,FWD,Pewter Metallic,Seacoast,Certified 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
87,692796141,45295,23900,CA,Acura,RLX,2014,,0,auto,FWD,Gray,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
88,697020704,46465,25977,WA,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Seacoast,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
89,687755722,47893,22000,GA,Acura,RLX,2014,,0,auto,FWD,Gray,Ebony,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
90,698051855,48236,24993,TX,Acura,RLX,2015,,0,auto,FWD,Silver Moon Metallic,Ebony,Used 2015 Acura RLX Tech Pkg,Automatic | FWD
91,685734651,48426,22775,TN,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Greystone,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
92,683395560,48734,27488,NC,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Base,6-Speed Automatic | FWD
93,698427505,49220,24999,TX,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Beige,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
94,686513965,49910,21995,VA,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
95,692886205,49974,20999,CT,Acura,RLX,2014,,0,auto,FWD,Silver Moon,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
96,699758830,50444,28995,NC,Acura,RLX,2014,,1,auto,FWD,Graphite Luster Metallic,Greystone,Certified 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
97,699863323,50525,25995,MD,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
98,688701897,51187,21560,CA,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Ebony,Used 2014 Acura RLX,6-Speed Automatic | FWD
99,698244907,51675,24900,MD,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX Base,6-Speed Automatic | FWD
100,674013193,52438,22984,NY,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
101,699976958,52579,28593,TX,Acura,RLX,2015,,0,auto,FWD,Bellanova White Pearl,Graystone,Used 2015 Acura RLX Advance Pkg,Automatic | FWD
102,692754550,52621,22995,AL,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Graystone,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
103,690159234,53855,23984,TX,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
104,694821834,54790,22999,GA,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Greystone,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
105,695634811,56225,20900,GA,Acura,RLX,2014,,0,auto,FWD,Pomegranate Pearl,Seacoast,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
106,696036133,56899,22999,GA,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
107,688587225,58262,23995,TX,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
108,681663943,58638,24980,IL,Acura,RLX,2014,,0,auto,FWD,Silver Moon,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
109,697601047,59098,20498,TX,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Seacoast,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
110,700492406,59503,26995,NC,Acura,RLX,2014,,0,auto,FWD,Silver Moon,Greystone,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
111,692231607,59800,21980,IL,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Ebony,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
112,677816313,61639,22998,NJ,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
